iter	RMSE
0	0.1863062588
1	0.179694965
2	0.1735307157
3	0.1678301843
4	0.1626458649
5	0.1578314759
6	0.153640199
7	0.1499523969
8	0.1463766445
9	0.1432042626
10	0.1403110633
11	0.1376835132
12	0.1353630708
13	0.1330993221
14	0.1311578601
15	0.1294231246
16	0.1278661719
17	0.1265022827
18	0.1252053988
19	0.1239953605
20	0.1229398197
21	0.1220551971
22	0.1211735539
23	0.1203689886
24	0.1197140569
25	0.1189773535
26	0.1183417579
27	0.1178263561
28	0.1172757317
29	0.1167763993
30	0.1163210147
31	0.1159385377
32	0.1155889421
33	0.1153370112
34	0.1150568127
35	0.1147980448
36	0.1145486758
37	0.1142656893
38	0.1140521713
39	0.1138188247
40	0.1136575672
41	0.1134633885
42	0.1133234159
43	0.1131911014
44	0.1130310916
45	0.1127837212
46	0.1126783029
47	0.1125053639
48	0.1123624518
49	0.1122757653
50	0.1121887729
51	0.1120783228
52	0.1119834918
53	0.1118945519
54	0.1117424865
55	0.1116203995
56	0.1115456167
57	0.1114779726
58	0.1113189775
59	0.1112487241
60	0.111193823
61	0.1110394188
62	0.1108952932
63	0.1108105854
64	0.1107558327
65	0.1106580905
66	0.1106097901
67	0.1105142494
68	0.1104637959
69	0.11035749
70	0.1102458666
71	0.1101991483
72	0.1101382644
73	0.1100947697
74	0.1100440931
75	0.1099800977
76	0.1099237844
77	0.1098684259
78	0.1097751553
79	0.1097250106
80	0.1096822291
81	0.1096514941
82	0.1096035358
83	0.1095480718
84	0.1094697783
85	0.1093963332
86	0.1093489531
87	0.1093032919
88	0.1092661225
89	0.109222595
90	0.1091616009
91	0.1091317629
92	0.1090770578
93	0.1090125673
94	0.1089771725
95	0.1088800421
96	0.1088227184
97	0.1087845639
98	0.1087570258
99	0.108680911
100	0.1086159858
101	0.1085792825
102	0.1085346998
103	0.1084079069
104	0.1083560253
105	0.1083113876
106	0.1082814198
107	0.1082606052
108	0.1082149134
109	0.1081693874
110	0.1081307948
111	0.1080984121
112	0.1080618461
113	0.1080111951
114	0.1079686857
115	0.1078929694
116	0.1078564452
117	0.1078088968
118	0.1077640041
119	0.1077325471
120	0.1077001295
121	0.1076386408
122	0.1075911152
123	0.1075468289
124	0.1075065038
125	0.1074635124
126	0.1074352947
127	0.1074026781
128	0.1073718227
129	0.1073402345
130	0.107308648
131	0.1072571227
132	0.1072108113
133	0.1071763599
134	0.1071428525
135	0.1071007957
136	0.1070816351
137	0.1070495834
138	0.1069860125
139	0.1069542295
140	0.1069074778
141	0.1068314863
142	0.1068001253
143	0.1067552823
144	0.1067017779
145	0.1066650241
146	0.106611473
147	0.1065585992
148	0.1065184207
149	0.1064953128
150	0.1064498118
151	0.1063869259
152	0.1063600741
153	0.1063058111
154	0.1062292743
155	0.1061977731
156	0.1061608733
157	0.1060915488
