iter	Passed	Remaining
0	21	21486
1	38	19158
2	68	22788
3	89	22190
4	104	20817
5	119	19831
6	134	19056
7	150	18616
8	170	18776
9	189	18767
10	207	18690
11	227	18729
12	243	18479
13	258	18199
14	273	17984
15	288	17764
16	306	17710
17	321	17556
18	338	17466
19	353	17336
20	370	17256
21	390	17344
22	405	17233
23	420	17089
24	435	16994
25	450	16858
26	468	16888
27	487	16911
28	502	16814
29	519	16781
30	534	16699
31	548	16604
32	568	16661
33	586	16661
34	602	16607
35	618	16556
36	634	16517
37	650	16478
38	667	16443
39	683	16396
40	699	16360
41	716	16333
42	732	16293
43	748	16257
44	774	16426
45	793	16449
46	807	16371
47	827	16409
48	847	16448
49	869	16514
50	896	16684
51	916	16717
52	937	16749
53	958	16799
54	981	16865
55	1006	16965
56	1022	16908
57	1037	16852
58	1058	16884
59	1075	16855
60	1095	16860
61	1112	16824
62	1130	16807
63	1146	16767
64	1161	16709
65	1177	16666
66	1196	16655
67	1216	16671
68	1232	16624
69	1248	16583
70	1263	16527
71	1278	16473
72	1293	16421
73	1308	16376
74	1324	16334
75	1340	16295
76	1356	16261
77	1372	16223
78	1393	16240
79	1410	16215
80	1425	16176
81	1440	16125
82	1454	16073
83	1473	16068
84	1492	16068
85	1507	16022
86	1522	15976
87	1537	15932
88	1551	15879
89	1566	15837
90	1582	15807
91	1601	15804
92	1620	15799
93	1635	15759
94	1649	15716
95	1664	15678
96	1679	15637
97	1694	15592
98	1708	15547
99	1724	15517
100	1740	15496
101	1760	15502
102	1776	15471
103	1792	15442
104	1813	15458
105	1835	15483
106	1855	15486
107	1874	15483
108	1890	15449
109	1909	15450
110	1925	15424
111	1941	15393
112	1956	15355
113	1972	15328
114	1987	15295
115	2002	15264
116	2024	15280
117	2048	15312
118	2066	15295
119	2082	15274
120	2096	15231
121	2112	15200
122	2126	15161
123	2141	15130
124	2156	15094
125	2170	15057
126	2184	15018
127	2203	15008
128	2221	14998
129	2240	14994
130	2254	14955
131	2269	14920
132	2283	14888
133	2298	14852
134	2312	14820
135	2327	14788
136	2341	14750
137	2355	14713
138	2369	14674
139	2383	14643
140	2400	14626
141	2419	14617
142	2433	14585
143	2450	14565
144	2469	14563
145	2486	14544
146	2501	14516
147	2516	14489
148	2535	14479
149	2553	14469
150	2572	14462
151	2589	14448
152	2604	14419
153	2621	14401
154	2641	14402
155	2662	14405
156	2681	14398
157	2703	14407
158	2725	14413
159	2741	14393
160	2761	14389
161	2777	14368
162	2793	14344
163	2811	14333
164	2830	14322
165	2849	14314
166	2871	14324
167	2885	14292
168	2901	14268
169	2915	14233
170	2929	14199
171	2942	14166
172	2956	14134
173	2969	14096
174	2981	14057
175	2995	14023
176	3009	13991
177	3033	14010
178	3051	13994
179	3065	13964
180	3112	14084
181	3125	14049
182	3139	14015
183	3152	13980
184	3165	13947
185	3178	13910
186	3190	13869
187	3203	13836
188	3217	13806
189	3232	13781
190	3249	13761
191	3262	13729
192	3275	13694
193	3287	13658
194	3300	13624
195	3313	13593
196	3325	13554
197	3337	13516
198	3349	13480
199	3360	13441
200	3372	13405
201	3383	13367
202	3396	13334
203	3412	13314
204	3424	13280
205	3441	13264
206	3455	13239
207	3474	13229
208	3486	13196
209	3499	13163
210	3511	13132
211	3524	13101
212	3539	13079
213	3554	13056
214	3569	13033
215	3584	13009
216	3596	12978
217	3612	12960
218	3626	12933
219	3640	12908
220	3655	12884
221	3668	12856
222	3684	12839
223	3697	12810
224	3710	12781
225	3723	12753
226	3737	12728
227	3751	12702
228	3764	12672
229	3777	12647
230	3790	12617
231	3806	12600
232	3826	12597
233	3838	12565
234	3851	12538
235	3865	12513
236	3878	12485
237	3890	12455
238	3901	12422
239	3913	12392
240	3926	12364
241	3937	12333
242	3949	12302
243	3962	12276
244	3976	12252
245	3989	12227
246	4005	12212
247	4028	12214
248	4042	12191
249	4055	12166
250	4067	12139
251	4080	12111
252	4092	12084
253	4105	12058
254	4116	12027
255	4128	11998
256	4141	11972
257	4154	11947
258	4167	11922
259	4179	11895
260	4194	11875
261	4207	11852
262	4221	11828
263	4234	11804
264	4246	11779
265	4258	11750
266	4270	11723
267	4282	11696
268	4294	11670
269	4306	11644
270	4317	11615
271	4328	11586
272	4341	11560
273	4352	11533
274	4366	11511
275	4383	11499
276	4400	11486
277	4414	11465
278	4430	11449
279	4446	11433
280	4464	11422
281	4483	11416
282	4501	11405
283	4515	11382
284	4528	11361
285	4542	11341
286	4555	11317
287	4567	11292
288	4581	11272
289	4595	11251
290	4611	11235
291	4626	11218
292	4641	11199
293	4659	11188
294	4675	11172
295	4691	11157
296	4704	11136
297	4720	11120
298	4734	11100
299	4747	11076
300	4760	11055
301	4775	11038
302	4792	11023
303	4811	11014
304	4825	10995
305	4839	10975
306	4853	10955
307	4866	10933
308	4879	10911
309	4892	10888
310	4905	10868
311	4921	10852
312	4935	10832
313	4947	10808
314	4960	10787
315	4981	10783
316	5002	10777
317	5016	10758
318	5030	10738
319	5042	10715
320	5054	10692
321	5067	10669
322	5079	10646
323	5091	10623
324	5103	10598
325	5115	10576
326	5128	10554
327	5141	10533
328	5155	10513
329	5169	10495
330	5184	10478
331	5199	10461
332	5212	10440
333	5226	10421
334	5238	10399
335	5252	10379
336	5264	10356
337	5275	10333
338	5288	10311
339	5300	10288
340	5311	10265
341	5323	10242
342	5335	10219
343	5347	10198
344	5360	10176
345	5375	10160
346	5393	10148
347	5406	10129
348	5419	10109
349	5432	10088
350	5447	10073
351	5466	10063
352	5483	10051
353	5497	10032
354	5510	10011
355	5521	9989
356	5534	9968
357	5547	9947
358	5560	9927
359	5576	9912
360	5588	9892
361	5600	9870
362	5612	9848
363	5631	9840
364	5645	9821
365	5658	9801
366	5670	9781
367	5682	9759
368	5694	9737
369	5706	9717
370	5718	9695
371	5730	9674
372	5743	9653
373	5755	9633
374	5773	9621
375	5787	9605
376	5803	9589
377	5817	9573
